num_samples,var_estimate,error,scaled_error,inv_error_sq,theoretical_var,confidence_level,mu,sigma,T,dist,df,skew_alpha,rho
31187,1.3027343997873737,0.0012540528360009962,0.22146374252310816,635869.992662296,1.3014803469513727,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
32966,1.2970883562456024,0.004391990705770343,0.7974336160870609,51841.45417765967,1.3014803469513727,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
34847,1.3081781462624094,0.006697799311036645,1.2503017185838914,22291.3175736329,1.3014803469513727,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
36835,1.3003766783906723,0.0011036685607004326,0.21182099728626275,820961.2476471324,1.3014803469513727,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
38936,1.2999916245778955,0.0014887223734771915,0.29375778299618255,451203.6138938894,1.3014803469513727,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
41158,1.2986578965475026,0.0028224504038700804,0.5726027779597004,125529.95164361314,1.3014803469513727,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
43506,1.2976780244510924,0.003802322500280342,0.7930919235311795,69167.50354276746,1.3014803469513727,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
45988,1.3093614188370668,0.007881071885694091,1.6900811198209302,16100.131465842564,1.3014803469513727,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
48612,1.3037723037346263,0.002291956783253557,0.5053335921458542,190365.02106397928,1.3014803469513727,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
51385,1.3030878397856307,0.0016074928342579842,0.36439065109909524,386991.9300116854,1.3014803469513727,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
54317,1.3075999378211978,0.006119590869825053,1.4262323260092462,26702.702915546626,1.3014803469513727,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
57416,1.3006317498455096,0.0008485971058631581,0.20333774964949988,1388663.138398357,1.3014803469513727,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
60692,1.3012180769702297,0.00026226998114298183,0.06461216740124456,14537938.58795209,1.3014803469513727,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
64154,1.3036098507787657,0.0021295038273929645,0.5393743564401611,220517.5455955388,1.3014803469513727,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
67814,1.3043128069134933,0.0028324599621205593,0.7376043352921695,124644.30508595463,1.3014803469513727,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
71683,1.3057258552524458,0.004245508301073064,1.136678853885191,55480.53128439893,1.3014803469513727,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
75773,1.3014524728452717,2.7874106101055673e-05,0.007672876180179068,1287057952.4476771,1.3014803469513727,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
80096,1.3009288256061857,0.0005515213451869894,0.15608736147424687,3287572.578351806,1.3014803469513727,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
84666,1.3042470214819553,0.002766674530582547,0.8050309791969332,130642.31147324614,1.3014803469513727,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
89496,1.3027829550322758,0.0013026080809031004,0.38968669731156913,589348.8818531119,1.3014803469513727,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
94602,1.3013278067826348,0.00015254016873789134,0.046917448015000106,42976550.60244809,1.3014803469513727,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
100000,1.3025354846515025,0.0010551377001297713,0.33366383775218184,898217.9269994957,1.3014803469513727,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
105705,1.3001678653804178,0.001312481570954871,0.4267180161785242,580515.1683314401,1.3014803469513727,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
111735,1.3013531198329624,0.0001272271184102891,0.04252793618078322,61778963.587943494,1.3014803469513727,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
118110,1.3047504563457881,0.0032701093944154103,1.1238429253992934,93513.74233912381,1.3014803469513727,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
124849,1.3001037142482348,0.0013766327031379255,0.4864190962134426,527671.7393915835,1.3014803469513727,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
131972,1.3038954622399346,0.0024151152885618643,0.8773618906916214,171444.77961097198,1.3014803469513727,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
139501,1.3002135978679545,0.0012667490834181727,0.4731286629245572,623187.5989529238,1.3014803469513727,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
147460,1.3022345693832162,0.000754222431843532,0.2896253420431091,1757928.1077167012,1.3014803469513727,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
155873,1.3023521678958963,0.0008718209445235381,0.3442014894490061,1315665.2483811819,1.3014803469513727,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
164765,1.2997388108398606,0.0017415361115120653,0.7069113677004237,329712.2109798076,1.3014803469513727,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
174166,1.3031456974751183,0.0016653505237456123,0.6950040683193406,360569.24794360035,1.3014803469513727,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
184102,1.3021237263753587,0.0006433794239859569,0.2760555105279581,2415826.077356534,1.3014803469513727,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
194606,1.3050565214124354,0.003576174461062731,1.577599683362021,78192.05105239908,1.3014803469513727,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
205708,1.3013776850051548,0.00010266194621788571,0.046562370694558854,94881384.59512311,1.3014803469513727,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
217444,1.3046239377523212,0.0031435908009485036,1.4658844014086918,101192.41986512096,1.3014803469513727,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
229850,1.302186498552087,0.0007061516007142998,0.33854796059278797,2005414.2849029228,1.3014803469513727,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
